name,Enforcement & Abandoned Vehicles,Signs & Signals
Allston / Brighton,321,851
Back Bay,81,395
Beacon Hill,33,116
Charlestown,86,146
Dorchester,552,640
Downtown / Financial District,154,815
East Boston,194,273
Fenway / Kenmore / Audubon Circle / Longwood,37,278
Hyde Park,130,181
Jamaica Plain,208,424
Mattapan,191,288
Mission Hill,50,128
Roslindale,147,306
Roxbury,329,522
South Boston / South Boston Waterfront,333,348
South End,109,155
West Roxbury,59,179
