,Neighborhood,Duration,Efficiency,ontime_rate,request_volume,Department
107,Dorchester,206.72,7.52,0.92,277,Property Management
108,Downtown / Financial District,267.48,5.73,0.85,468,Property Management
109,East Boston,318.90,4.68,0.85,232,Property Management
110,Fenway / Kenmore / Audubon Circle / Longwood,160.05,10.05,0.93,282,Property Management
111,Hyde Park,434.19,3.70,0.68,19,Property Management
112,Jamaica Plain,253.00,6.02,0.82,354,Property Management
113,Mattapan,467.75,3.04,0.68,34,Property Management
114,Mission Hill,189.44,8.29,0.84,181,Property Management
115,Roslindale,322.67,4.87,0.77,84,Property Management
116,Roxbury,165.31,9.27,0.89,240,Property Management
117,South Boston / South Boston Waterfront,196.89,8.00,0.83,175,Property Management
118,South End,145.64,10.66,0.88,288,Property Management
119,West Roxbury,573.75,2.82,0.69,13,Property Management
120,Allston / Brighton,71.34,2.48,0.83,1218,Transportation - Traffic Division
121,Back Bay,43.25,3.07,0.82,638,Transportation - Traffic Division
122,Beacon Hill,50.81,3.50,0.81,170,Transportation - Traffic Division
123,Charlestown,67.27,2.64,0.83,245,Transportation - Traffic Division
124,Dorchester,97.58,2.60,0.83,1249,Transportation - Traffic Division
125,Downtown / Financial District,35.85,3.09,0.79,1093,Transportation - Traffic Division
126,East Boston,49.42,3.37,0.88,478,Transportation - Traffic Division
127,Fenway / Kenmore / Audubon Circle / Longwood,37.10,2.85,0.82,347,Transportation - Traffic Division
128,Hyde Park,86.24,3.34,0.83,328,Transportation - Traffic Division
129,Jamaica Plain,95.45,2.71,0.80,684,Transportation - Traffic Division
130,Mattapan,114.21,2.06,0.82,507,Transportation - Traffic Division
131,Mission Hill,45.58,3.53,0.85,198,Transportation - Traffic Division
132,Roslindale,61.85,2.42,0.82,479,Transportation - Traffic Division
133,Roxbury,68.18,2.57,0.84,911,Transportation - Traffic Division
134,South Boston / South Boston Waterfront,22.46,5.34,0.90,718,Transportation - Traffic Division
135,South End,30.01,5.58,0.85,278,Transportation - Traffic Division
136,West Roxbury,87.70,2.67,0.78,260,Transportation - Traffic Division
